"species_lump","present_below_south","present_within_buffer","present_above_north","present_observations_site","total_observations","sites_in_buffer","sites_present","total_sites","total_counts","percent_years_present","range_edge_category","range_lat","id"
"Cancer antennaria",TRUE,TRUE,TRUE,1,313,4,1,108,55,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Cancer oregonensis",FALSE,TRUE,TRUE,1,313,4,1,108,3,4.16666666666667,"Southern Range Edge","34.04-34.36",3
"Cancer productus",FALSE,FALSE,TRUE,0,313,4,0,108,1,0,"Northern Only Presence","34.04-34.36",3
"Carpopeltis bushiae",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Caulacanthus okamurae",TRUE,FALSE,TRUE,0,242,4,0,103,1831,0,"Avoidant","34.04-34.36",3
"Ceratostoma foliatum",TRUE,FALSE,TRUE,0,313,4,0,108,5,0,"Avoidant","34.04-34.36",3
"Ceratostoma nuttalli",TRUE,FALSE,TRUE,0,313,4,0,108,46,0,"Avoidant","34.04-34.36",3
"Cerithiopsis spp",TRUE,FALSE,FALSE,0,313,4,0,108,2,0,"Southern Only Presence","34.04-34.36",3
"Chaetomorpha spp",TRUE,TRUE,TRUE,4,242,4,2,103,148,18.1818181818182,"Continuous Presence","34.04-34.36",3
"Chondracanthus canaliculatus",TRUE,TRUE,TRUE,6,242,4,3,103,5926,27.2727272727273,"Continuous Presence","34.04-34.36",3
"Chondracanthus corymbiferus/exaspertata",TRUE,FALSE,TRUE,0,242,4,0,103,74,0,"Avoidant","34.04-34.36",3
"Chondracanthus harveyanus",FALSE,FALSE,TRUE,0,242,4,0,103,5,0,"Northern Only Presence","34.04-34.36",3
"Chondracanthus spinosus",TRUE,FALSE,TRUE,0,242,4,0,103,42,0,"Avoidant","34.04-34.36",3
"Chondria acrorhizophora",TRUE,FALSE,FALSE,0,242,4,0,103,21,0,"Southern Only Presence","34.04-34.36",3
"Chondria arcuata",TRUE,FALSE,TRUE,0,242,4,0,103,16,0,"Avoidant","34.04-34.36",3
"Chondria dasyphylla",TRUE,FALSE,TRUE,0,242,4,0,103,16,0,"Avoidant","34.04-34.36",3
"Chondria decipiens",TRUE,FALSE,TRUE,0,242,4,0,103,25,0,"Avoidant","34.04-34.36",3
"Chondria nidifica",TRUE,FALSE,TRUE,0,242,4,0,103,157,0,"Avoidant","34.04-34.36",3
"Chondria oppositiclada",TRUE,FALSE,FALSE,0,242,4,0,103,23,0,"Southern Only Presence","34.04-34.36",3
"Chone minuta",FALSE,FALSE,TRUE,0,242,4,0,103,88,0,"Northern Only Presence","34.04-34.36",3
"Chthamalus dalli/fissus",TRUE,TRUE,TRUE,9,242,4,4,103,17343,36.3636363636364,"Continuous Presence","34.04-34.36",3
"Cirolana spp/Gnorimosphaeroma oregonense",FALSE,FALSE,TRUE,0,313,4,0,108,82,0,"Northern Only Presence","34.04-34.36",3
"Cladophora columbiana",TRUE,TRUE,TRUE,3,242,4,2,103,1559,13.6363636363636,"Continuous Presence","34.04-34.36",3
"Cladophora graminea",TRUE,FALSE,TRUE,0,242,4,0,103,6,0,"Avoidant","34.04-34.36",3
"Clavelina huntsmani",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Codium fragile",TRUE,FALSE,TRUE,0,242,4,0,103,51,0,"Avoidant","34.04-34.36",3
"Codium setchellii",FALSE,FALSE,TRUE,0,242,4,0,103,19,0,"Northern Only Presence","34.04-34.36",3
"Colonial diatom",TRUE,TRUE,TRUE,1,242,4,1,103,75,4.54545454545455,"Continuous Presence","34.04-34.36",3
"Colpomenia/Leathesia spp",TRUE,FALSE,TRUE,0,242,4,0,103,184,0,"Avoidant","34.04-34.36",3
"Constantinea simplex",FALSE,FALSE,TRUE,0,242,4,0,103,109,0,"Northern Only Presence","34.04-34.36",3
"Corallina spp",TRUE,TRUE,TRUE,7,242,4,4,103,18213,31.8181818181818,"Continuous Presence","34.04-34.36",3
"Corynactis californica",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Costaria costata",FALSE,FALSE,TRUE,0,242,4,0,103,93,0,"Northern Only Presence","34.04-34.36",3
"Crangon spp",TRUE,FALSE,TRUE,0,313,4,0,108,10,0,"Avoidant","34.04-34.36",3
"Crepipatella lingulata",TRUE,TRUE,TRUE,1,313,4,1,108,11,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Cryptochiton stelleri",FALSE,FALSE,TRUE,0,391,4,0,108,236,0,"Northern Only Presence","34.04-34.36",3
"Cryptolithodes sitchensis",FALSE,FALSE,TRUE,0,313,4,0,108,5,0,"Northern Only Presence","34.04-34.36",3
"Cryptopleura/Hymenena spp",TRUE,TRUE,TRUE,2,242,4,1,103,3622,9.09090909090909,"Continuous Presence","34.04-34.36",3
"Cryptosiphonia woodii",FALSE,FALSE,TRUE,0,242,4,0,103,922,0,"Northern Only Presence","34.04-34.36",3
"Cucumaria miniata",FALSE,FALSE,FALSE,0,313,4,0,108,0,0,"Absent","34.04-34.36",3
"Cucumaria/Pseudocnus spp",FALSE,FALSE,TRUE,0,313,4,0,108,573,0,"Northern Only Presence","34.04-34.36",3
"Cumagloia andersonii",FALSE,FALSE,TRUE,0,242,4,0,103,25,0,"Northern Only Presence","34.04-34.36",3
"Cyanoplax hartwegii",TRUE,TRUE,TRUE,8,313,4,4,108,1890,25,"Continuous Presence","34.04-34.36",3
"Cyanoplax spp",TRUE,TRUE,TRUE,4,313,4,2,108,1882,16.6666666666667,"Continuous Presence","34.04-34.36",3
"Dasya binghamiae",TRUE,FALSE,TRUE,0,242,4,0,103,18,0,"Avoidant","34.04-34.36",3
"Dasysiphonia japonica",TRUE,FALSE,FALSE,0,242,4,0,103,1,0,"Southern Only Presence","34.04-34.36",3
"Delesseria decipiens",FALSE,FALSE,TRUE,0,242,4,0,103,5,0,"Northern Only Presence","34.04-34.36",3
"Dendrobeania lichenoides",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Dendronotus subramosus",FALSE,FALSE,TRUE,0,313,4,0,108,1,0,"Northern Only Presence","34.04-34.36",3
"Dendropoma lituella",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Derbesia marina",FALSE,FALSE,TRUE,0,242,4,0,103,12,0,"Northern Only Presence","34.04-34.36",3
"Dermasterias imbricata",FALSE,FALSE,TRUE,0,391,4,0,108,683,0,"Northern Only Presence","34.04-34.36",3
"Desmarestia ligulata",FALSE,FALSE,TRUE,0,242,4,0,103,121,0,"Northern Only Presence","34.04-34.36",3
"Diaperoecia californica",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Diaulula sandiegensis",TRUE,TRUE,TRUE,1,313,4,1,108,12,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Dictyoneurum californicum",FALSE,FALSE,TRUE,0,242,4,0,103,12,0,"Northern Only Presence","34.04-34.36",3
"Dictyopteris undulata",TRUE,FALSE,FALSE,0,242,4,0,103,22,0,"Southern Only Presence","34.04-34.36",3
"Dictyota binghamiae",TRUE,FALSE,FALSE,0,242,4,0,103,4,0,"Southern Only Presence","34.04-34.36",3
"Dictyota coriacea",TRUE,FALSE,TRUE,0,242,4,0,103,138,0,"Avoidant","34.04-34.36",3
"Dilsea californica",FALSE,FALSE,TRUE,0,242,4,0,103,447,0,"Northern Only Presence","34.04-34.36",3
"Diodora aspera",FALSE,FALSE,TRUE,0,313,4,0,108,11,0,"Northern Only Presence","34.04-34.36",3
"Dirona albolineata",FALSE,FALSE,TRUE,0,313,4,0,108,2,0,"Northern Only Presence","34.04-34.36",3
"Discurria insessa",TRUE,FALSE,TRUE,0,313,4,0,108,120,0,"Avoidant","34.04-34.36",3
"Distaplia occidentalis",FALSE,FALSE,TRUE,0,242,4,0,103,9,0,"Northern Only Presence","34.04-34.36",3
"Dodecaceria spp",TRUE,TRUE,TRUE,1,242,4,1,103,239,4.54545454545455,"Continuous Presence","34.04-34.36",3
"Doris montereyensis",FALSE,FALSE,TRUE,0,313,4,0,108,3,0,"Northern Only Presence","34.04-34.36",3
"Ectocarpus spp",TRUE,FALSE,FALSE,0,242,4,0,103,2,0,"Southern Only Presence","34.04-34.36",3
"Egregia menziesii",TRUE,TRUE,TRUE,8,242,4,4,103,5494,31.8181818181818,"Continuous Presence","34.04-34.36",3
"Eisenia arborea",TRUE,FALSE,TRUE,0,242,4,0,103,141,0,"Avoidant","34.04-34.36",3
"Encrusting coralline",TRUE,TRUE,TRUE,9,242,4,4,103,8084,36.3636363636364,"Continuous Presence","34.04-34.36",3
"Endarachne/Petalonia/Phaeostrophion spp",TRUE,TRUE,TRUE,6,242,4,4,103,381,22.7272727272727,"Continuous Presence","34.04-34.36",3
"Endocladia muricata",TRUE,TRUE,TRUE,5,242,4,3,103,14318,22.7272727272727,"Continuous Presence","34.04-34.36",3
"Endoplura aurea",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Epiactis prolifera",FALSE,FALSE,TRUE,0,242,4,0,103,5,0,"Northern Only Presence","34.04-34.36",3
"Epitonium tinctum",TRUE,TRUE,TRUE,3,313,4,2,108,388,12.5,"Continuous Presence","34.04-34.36",3
"Erythroglossum californicum",TRUE,TRUE,TRUE,1,242,4,1,103,48,4.54545454545455,"Continuous Presence","34.04-34.36",3
"Erythrophyllum delesserioides",TRUE,FALSE,TRUE,0,242,4,0,103,222,0,"Avoidant","34.04-34.36",3
"Eudendrium californicum",FALSE,FALSE,TRUE,0,242,4,0,103,2,0,"Northern Only Presence","34.04-34.36",3
"Eudistoma psammion",TRUE,FALSE,TRUE,0,242,4,0,103,45,0,"Avoidant","34.04-34.36",3
"Eudistoma ritteri",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Eudistylia polymorpha",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Eupentacta spp",FALSE,FALSE,TRUE,0,313,4,0,108,11,0,"Northern Only Presence","34.04-34.36",3
"Eurystomella bilabiata",TRUE,FALSE,TRUE,0,242,4,0,103,29,0,"Avoidant","34.04-34.36",3
"Evasterias troschelii",FALSE,FALSE,FALSE,0,391,4,0,108,0,0,"Absent","34.04-34.36",3
"Farlowia compressa",FALSE,FALSE,TRUE,0,242,4,0,103,3,0,"Northern Only Presence","34.04-34.36",3
"Farlowia mollis",FALSE,FALSE,TRUE,0,242,4,0,103,17,0,"Northern Only Presence","34.04-34.36",3
"Farlowia/Pikea spp",TRUE,FALSE,TRUE,0,242,4,0,103,93,0,"Avoidant","34.04-34.36",3
"Fissurella volcano",TRUE,TRUE,TRUE,7,313,4,4,108,4909,25,"Continuous Presence","34.04-34.36",3
"Fissurellidea bimaculata",TRUE,FALSE,TRUE,0,313,4,0,108,5,0,"Avoidant","34.04-34.36",3
"Flustrellidra corniculata",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Fredericqia chiton",TRUE,FALSE,FALSE,0,242,4,0,103,1,0,"Southern Only Presence","34.04-34.36",3
"Fucus spp",FALSE,FALSE,TRUE,0,242,4,0,103,3137,0,"Northern Only Presence","34.04-34.36",3
"Gastroclonium parvum",TRUE,FALSE,TRUE,0,242,4,0,103,162,0,"Avoidant","34.04-34.36",3
"Gelidium purpurascens",TRUE,FALSE,TRUE,0,242,4,0,103,43,0,"Avoidant","34.04-34.36",3
"Gelidium robustum",TRUE,FALSE,TRUE,0,242,4,0,103,128,0,"Avoidant","34.04-34.36",3
"Gelidium spp",TRUE,TRUE,TRUE,3,242,4,3,103,4262,13.6363636363636,"Continuous Presence","34.04-34.36",3
"Gloiopeltis furcata",TRUE,FALSE,TRUE,0,242,4,0,103,69,0,"Avoidant","34.04-34.36",3
"Gloiosiphonia californica",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Gracilariopsis/Gracilaria spp",TRUE,FALSE,TRUE,0,242,4,0,103,423,0,"Avoidant","34.04-34.36",3
"Grateloupia angusta",TRUE,FALSE,FALSE,0,242,4,0,103,2,0,"Southern Only Presence","34.04-34.36",3
"Grateloupia californica",TRUE,FALSE,TRUE,0,242,4,0,103,139,0,"Avoidant","34.04-34.36",3
"Grateloupia cornea",TRUE,FALSE,FALSE,0,242,4,0,103,4,0,"Southern Only Presence","34.04-34.36",3
"Halichondria panicea",FALSE,FALSE,TRUE,0,242,4,0,103,5,0,"Northern Only Presence","34.04-34.36",3
"Halichondria spp",FALSE,FALSE,TRUE,0,242,4,0,103,57,0,"Northern Only Presence","34.04-34.36",3
"Haliclona spp",TRUE,FALSE,TRUE,0,242,4,0,103,60,0,"Avoidant","34.04-34.36",3
"Halosaccion glandiforme",FALSE,FALSE,TRUE,0,242,4,0,103,769,0,"Northern Only Presence","34.04-34.36",3
"Halymenia/Schizymenia spp",FALSE,FALSE,TRUE,0,242,4,0,103,221,0,"Northern Only Presence","34.04-34.36",3
"Haminoea vesicula",TRUE,FALSE,FALSE,0,313,4,0,108,13,0,"Southern Only Presence","34.04-34.36",3
"Haminoea virescens",TRUE,FALSE,FALSE,0,313,4,0,108,12,0,"Southern Only Presence","34.04-34.36",3
"Hapalospongidion gelatinosum",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Haplogloia andersonii",FALSE,FALSE,TRUE,0,242,4,0,103,11,0,"Northern Only Presence","34.04-34.36",3
"Hapterophycus canaliculatus",TRUE,FALSE,TRUE,0,242,4,0,103,93,0,"Avoidant","34.04-34.36",3
"Hedophyllum sessile",FALSE,FALSE,TRUE,0,242,4,0,103,720,0,"Northern Only Presence","34.04-34.36",3
"Heliaster kubiniji",FALSE,FALSE,FALSE,0,391,4,0,108,0,0,"Absent","34.04-34.36",3
"Hemigrapsus nudus",TRUE,FALSE,TRUE,0,313,4,0,108,66,0,"Avoidant","34.04-34.36",3
"Hemigrapsus oregonensis",FALSE,FALSE,TRUE,0,313,4,0,108,1,0,"Northern Only Presence","34.04-34.36",3
"Henricia spp",FALSE,FALSE,TRUE,0,391,4,0,108,446,0,"Northern Only Presence","34.04-34.36",3
"Hermissenda crassicornis",TRUE,FALSE,TRUE,0,313,4,0,108,32,0,"Avoidant","34.04-34.36",3
"Herposiphonia littoralis",TRUE,FALSE,FALSE,0,242,4,0,103,9,0,"Southern Only Presence","34.04-34.36",3
"Herposiphonia plumula",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Herposiphonia verticillata",TRUE,FALSE,TRUE,0,242,4,0,103,15,0,"Avoidant","34.04-34.36",3
"Homalopoma spp",TRUE,FALSE,TRUE,0,313,4,0,108,191,0,"Avoidant","34.04-34.36",3
"Hypnea johnstonii",TRUE,FALSE,FALSE,0,242,4,0,103,12,0,"Southern Only Presence","34.04-34.36",3
"Hypnea valentiae",TRUE,FALSE,FALSE,0,242,4,0,103,164,0,"Southern Only Presence","34.04-34.36",3
"Hypnea variabilis",TRUE,FALSE,FALSE,0,242,4,0,103,5,0,"Southern Only Presence","34.04-34.36",3
"Idotea spp",TRUE,TRUE,TRUE,2,313,4,2,108,837,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Jania rosea",TRUE,FALSE,FALSE,0,242,4,0,103,88,0,"Southern Only Presence","34.04-34.36",3
"Jania tenella",TRUE,FALSE,FALSE,0,242,4,0,103,13,0,"Southern Only Presence","34.04-34.36",3
"Jania verrucosa",TRUE,FALSE,FALSE,0,242,4,0,103,531,0,"Southern Only Presence","34.04-34.36",3
"Johansenia macmillanii",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Katharina tunicata",FALSE,FALSE,TRUE,0,313,4,0,108,555,0,"Northern Only Presence","34.04-34.36",3
"Kelletia kelletii",TRUE,FALSE,FALSE,0,313,4,0,108,9,0,"Southern Only Presence","34.04-34.36",3
"Lacuna spp",TRUE,TRUE,TRUE,1,313,4,1,108,18119,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Laminaria ephemera",FALSE,FALSE,TRUE,0,242,4,0,103,4,0,"Northern Only Presence","34.04-34.36",3
"Laminaria farlowii",TRUE,FALSE,FALSE,0,242,4,0,103,1,0,"Southern Only Presence","34.04-34.36",3
"Laminaria setchellii",FALSE,FALSE,TRUE,0,242,4,0,103,553,0,"Northern Only Presence","34.04-34.36",3
"Laminaria sinclairii",FALSE,FALSE,TRUE,0,242,4,0,103,252,0,"Northern Only Presence","34.04-34.36",3
"Laurencia pacifica/masonii",TRUE,TRUE,TRUE,2,242,4,1,103,462,9.09090909090909,"Continuous Presence","34.04-34.36",3
"Laurencia spp",TRUE,FALSE,TRUE,0,242,4,0,103,15,0,"Avoidant","34.04-34.36",3
"Lepidozona spp",TRUE,FALSE,TRUE,0,313,4,0,108,127,0,"Avoidant","34.04-34.36",3
"Leptasterias spp",TRUE,FALSE,TRUE,0,313,4,0,108,1995,0,"Avoidant","34.04-34.36",3
"Lessoniopsis littoralis",FALSE,FALSE,TRUE,0,242,4,0,103,10,0,"Northern Only Presence","34.04-34.36",3
"Ligia spp",TRUE,TRUE,TRUE,1,313,4,1,108,32,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Limacia cockerelli",TRUE,FALSE,FALSE,0,313,4,0,108,2,0,"Southern Only Presence","34.04-34.36",3
"Linckia columbiae",FALSE,FALSE,FALSE,0,391,4,0,108,0,0,"Absent","34.04-34.36",3
"Lirabuccinum dirum",FALSE,FALSE,TRUE,0,313,4,0,108,133,0,"Northern Only Presence","34.04-34.36",3
"Lirularia/Margarites spp",TRUE,FALSE,TRUE,0,313,4,0,108,396,0,"Avoidant","34.04-34.36",3
"Lithophyllum/Lithothamnion spp",TRUE,FALSE,TRUE,0,242,4,0,103,159,0,"Avoidant","34.04-34.36",3
"Lithothrix aspergillum",TRUE,FALSE,TRUE,0,242,4,0,103,1542,0,"Avoidant","34.04-34.36",3
"Littorina spp.",TRUE,TRUE,TRUE,13,313,4,4,108,737668,37.5,"Continuous Presence","34.04-34.36",3
"Lomentaria hakodatensis",TRUE,FALSE,FALSE,0,242,4,0,103,250,0,"Southern Only Presence","34.04-34.36",3
"Lottia asmi",FALSE,FALSE,TRUE,0,313,4,0,108,357,0,"Northern Only Presence","34.04-34.36",3
"Lottia austrodigitalis/digitalis",TRUE,TRUE,TRUE,13,313,4,4,108,70520,37.5,"Continuous Presence","34.04-34.36",3
"Lottia fenestrata",TRUE,FALSE,TRUE,0,313,4,0,108,1030,0,"Avoidant","34.04-34.36",3
"Lottia instabilis",TRUE,FALSE,TRUE,0,313,4,0,108,229,0,"Avoidant","34.04-34.36",3
"Lottia limatula",TRUE,TRUE,TRUE,7,313,4,3,108,3715,20.8333333333333,"Continuous Presence","34.04-34.36",3
"Lottia paradigitalis/strigatella",TRUE,TRUE,TRUE,13,313,4,4,108,87755,37.5,"Continuous Presence","34.04-34.36",3
"Lottia pelta",TRUE,TRUE,TRUE,12,313,4,4,108,14378,33.3333333333333,"Continuous Presence","34.04-34.36",3
"Lottia persona",TRUE,FALSE,TRUE,0,313,4,0,108,82,0,"Avoidant","34.04-34.36",3
"Lottia polyfacies",TRUE,FALSE,FALSE,0,313,4,0,108,37,0,"Southern Only Presence","34.04-34.36",3
"Lottia scabra/conus",TRUE,TRUE,TRUE,13,313,4,4,108,120485,37.5,"Continuous Presence","34.04-34.36",3
"Lottia scutum",TRUE,TRUE,TRUE,2,313,4,2,108,2814,8.33333333333333,"Continuous Presence","34.04-34.36",3
"Macrocystis pyrifera",TRUE,FALSE,TRUE,0,242,4,0,103,74,0,"Avoidant","34.04-34.36",3
"Macron lividus",TRUE,FALSE,FALSE,0,313,4,0,108,145,0,"Southern Only Presence","34.04-34.36",3
"Mastocarpus spp",TRUE,TRUE,TRUE,3,242,4,2,103,12690,13.6363636363636,"Continuous Presence","34.04-34.36",3
"Maxwellia gemma",TRUE,FALSE,FALSE,0,313,4,0,108,5,0,"Southern Only Presence","34.04-34.36",3
"Mazzaella affinis",TRUE,TRUE,TRUE,2,242,4,1,103,821,9.09090909090909,"Continuous Presence","34.04-34.36",3
"Mazzaella flaccida/oregona/splendens",TRUE,FALSE,TRUE,0,242,4,0,103,11621,0,"Avoidant","34.04-34.36",3
"Mazzaella leptorhynchos",TRUE,TRUE,TRUE,2,242,4,1,103,455,9.09090909090909,"Continuous Presence","34.04-34.36",3
"Mazzaella linearis",FALSE,FALSE,TRUE,0,242,4,0,103,87,0,"Northern Only Presence","34.04-34.36",3
"Mazzaella parksii",FALSE,FALSE,TRUE,0,242,4,0,103,115,0,"Northern Only Presence","34.04-34.36",3
"Mazzaella phyllocarpa",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Mazzaella volans",TRUE,FALSE,TRUE,0,242,4,0,103,23,0,"Avoidant","34.04-34.36",3
"Megabalanus californicus",TRUE,FALSE,TRUE,0,242,4,0,103,3,0,"Avoidant","34.04-34.36",3
"Megastraea undosa",TRUE,FALSE,FALSE,0,313,4,0,108,10,0,"Southern Only Presence","34.04-34.36",3
"Melanosiphon/Scytosiphon spp",TRUE,TRUE,TRUE,1,242,4,1,103,208,4.54545454545455,"Continuous Presence","34.04-34.36",3
"Membranipora spp",TRUE,FALSE,TRUE,0,242,4,0,103,5,0,"Avoidant","34.04-34.36",3
"Metridium senile",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Mexacanthina lugubris",TRUE,FALSE,FALSE,0,313,4,0,108,253,0,"Southern Only Presence","34.04-34.36",3
"Microcladia borealis",TRUE,FALSE,TRUE,0,242,4,0,103,835,0,"Avoidant","34.04-34.36",3
"Microcladia coulteri",FALSE,FALSE,TRUE,0,242,4,0,103,18,0,"Northern Only Presence","34.04-34.36",3
"Mopalia spp",TRUE,TRUE,TRUE,10,313,4,4,108,1201,29.1666666666667,"Continuous Presence","34.04-34.36",3
"Mytilisepta/Brachidontes spp",TRUE,TRUE,TRUE,6,242,4,3,103,243,27.2727272727273,"Continuous Presence","34.04-34.36",3
"Mytilus californianus",TRUE,TRUE,TRUE,9,242,4,4,103,25035,36.3636363636364,"Continuous Presence","34.04-34.36",3
"Mytilus trossulus/galloprovincialis/edulis",TRUE,TRUE,TRUE,1,242,4,1,103,126,4.54545454545455,"Continuous Presence","34.04-34.36",3
"Navanax inermis",TRUE,FALSE,FALSE,0,313,4,0,108,4,0,"Southern Only Presence","34.04-34.36",3
"Nemalion elminthoides",TRUE,FALSE,TRUE,0,242,4,0,103,5,0,"Avoidant","34.04-34.36",3
"Neogastroclonium subarticulatum",TRUE,TRUE,TRUE,2,242,4,2,103,1776,9.09090909090909,"Continuous Presence","34.04-34.36",3
"Neoptilota/Ptilota spp",FALSE,FALSE,TRUE,0,242,4,0,103,293,0,"Northern Only Presence","34.04-34.36",3
"Neorhodomela larix",FALSE,FALSE,TRUE,0,242,4,0,103,2604,0,"Northern Only Presence","34.04-34.36",3
"Neorhodomela oregona",FALSE,FALSE,TRUE,0,242,4,0,103,392,0,"Northern Only Presence","34.04-34.36",3
"Nereocystis luetkeana",FALSE,FALSE,TRUE,0,242,4,0,103,40,0,"Northern Only Presence","34.04-34.36",3
"Nienburgia andersoniana",TRUE,FALSE,TRUE,0,242,4,0,103,135,0,"Avoidant","34.04-34.36",3
"Non Coralline crust",TRUE,TRUE,TRUE,9,242,4,4,103,15090,36.3636363636364,"Continuous Presence","34.04-34.36",3
"Norrisia norrisii",TRUE,FALSE,TRUE,0,313,4,0,108,12,0,"Avoidant","34.04-34.36",3
"Nucella canaliculata",TRUE,TRUE,TRUE,1,313,4,1,108,703,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Nucella emarginata/ostrina",TRUE,TRUE,TRUE,13,313,4,4,108,10126,37.5,"Continuous Presence","34.04-34.36",3
"Nucella lamellosa",FALSE,FALSE,TRUE,0,313,4,0,108,2,0,"Northern Only Presence","34.04-34.36",3
"Nuttallina spp",TRUE,TRUE,TRUE,13,313,4,4,108,15520,37.5,"Continuous Presence","34.04-34.36",3
"Obelia spp",TRUE,FALSE,FALSE,0,242,4,0,103,2,0,"Southern Only Presence","34.04-34.36",3
"Odonthalia floccosa",TRUE,FALSE,TRUE,0,242,4,0,103,4729,0,"Avoidant","34.04-34.36",3
"Odonthalia washingtoniensis",FALSE,FALSE,TRUE,0,242,4,0,103,9,0,"Northern Only Presence","34.04-34.36",3
"Oedignathus inermis",FALSE,FALSE,TRUE,0,313,4,0,108,38,0,"Northern Only Presence","34.04-34.36",3
"Olivella biplicata",TRUE,FALSE,TRUE,0,313,4,0,108,5,0,"Avoidant","34.04-34.36",3
"Onchidella borealis",FALSE,FALSE,TRUE,0,313,4,0,108,1477,0,"Northern Only Presence","34.04-34.36",3
"Onchidoris bilamellata",FALSE,FALSE,FALSE,0,313,4,0,108,0,0,"Absent","34.04-34.36",3
"Opalia borealis",FALSE,FALSE,TRUE,0,313,4,0,108,3,0,"Northern Only Presence","34.04-34.36",3
"Opalia funiculata",TRUE,TRUE,TRUE,1,313,4,1,108,105,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Ophiuroid",TRUE,FALSE,TRUE,0,313,4,0,108,27,0,"Avoidant","34.04-34.36",3
"Ophlitaspongia pennata",TRUE,FALSE,TRUE,0,242,4,0,103,65,0,"Avoidant","34.04-34.36",3
"Opuntiella californica",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Oregonia gracilis",FALSE,FALSE,FALSE,0,313,4,0,108,0,0,"Absent","34.04-34.36",3
"Orienthella trilineata",FALSE,FALSE,TRUE,0,313,4,0,108,4,0,"Northern Only Presence","34.04-34.36",3
"Osmundea sinicola",TRUE,FALSE,TRUE,0,242,4,0,103,244,0,"Avoidant","34.04-34.36",3
"Osmundea spectabilis",TRUE,FALSE,TRUE,0,242,4,0,103,465,0,"Avoidant","34.04-34.36",3
"Osmundea splendens",TRUE,FALSE,TRUE,0,242,4,0,103,7,0,"Avoidant","34.04-34.36",3
"Pachycheles spp",TRUE,TRUE,TRUE,2,313,4,2,108,116,8.33333333333333,"Continuous Presence","34.04-34.36",3
"Pachygrapsus crassipes",TRUE,TRUE,TRUE,12,313,4,4,108,4995,37.5,"Continuous Presence","34.04-34.36",3
"Paciocinebrina circumtexta",TRUE,TRUE,TRUE,1,313,4,1,108,445,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Paciocinebrina interfossa",TRUE,TRUE,TRUE,1,313,4,1,108,74,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Paciocinebrina lurida",FALSE,FALSE,TRUE,0,313,4,0,108,12,0,"Northern Only Presence","34.04-34.36",3
"Padina spp",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
"Pagurus beringanus",FALSE,FALSE,TRUE,0,313,4,0,108,13,0,"Northern Only Presence","34.04-34.36",3
"Pagurus caurinus",FALSE,FALSE,TRUE,0,313,4,0,108,2,0,"Northern Only Presence","34.04-34.36",3
"Pagurus granosimanus",TRUE,TRUE,TRUE,1,313,4,1,108,620,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Pagurus hemphilli",TRUE,FALSE,TRUE,0,313,4,0,108,7,0,"Avoidant","34.04-34.36",3
"Pagurus hirsutiusculus",TRUE,TRUE,TRUE,1,313,4,1,108,5489,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Pagurus samuelis",TRUE,TRUE,TRUE,1,313,4,1,108,4232,4.16666666666667,"Continuous Presence","34.04-34.36",3
"Palmaria callophylloides",FALSE,FALSE,FALSE,0,242,4,0,103,0,0,"Absent","34.04-34.36",3
